place_name,rating,shop_type,sentence,TargetAspect
Starbucks SM Davao Expansion Wing,2,coffee,"The aesthetic is a beautiful take on elevated Filipino design, featuring cushioned seats, wooden tables, ample space, warm lighting, and minimalist wall decor.",Facilities and Amenities
Daleachious Cafe - Ecoland Branch,5,coffee,The atmosphere was cool & relaxing and the food was fresh and tasty.,Product Quality
Green Coffee - Marfori,3,coffee,a bit too pricey for me but coffee and the place looks awesome,Product Quality
Café de Vivré,4,coffee,Service was a bit slow but understandable as they only had one staff when we were there.,Customer Service
Lately Coffee,5,coffee,"I was looking for good coffee with a quiet ambiance that wasn't too far from the Ateneo de Davao campus, and Lately Coffee delivered exactly that.",Product Quality
AtCurbside,1,coffee,"my first 2 visits, i encountered the same barista.",Customer Service
KISOM Atelier,4,matcha,"The prices for the matcha have gone up a little since I first started coming here, which is valid naman since they use quality ingredients talaga, but it takes away from the pagka student-friendly aspect.",Customer Service
BRGR Alley Café,5,coffee,Food was delicious and service was excellent!,Customer Service
Steep Kohi,4,coffee,"Ordered the ₱180 Tsuki (Black sesame, bolder nutty taste, rich earthiness) around 6:07pm.",Product Quality
Starbucks Damosa IT Park Drive-Thru,5,coffee,You should visit this beautiful cozy coffee shop in Davao.,Product Quality
Lot 38 Kape,5,coffee,Had an awesome experience in this coffee place.,Product Quality
Kotetsu by Wood and Coffee,5,coffee,"However, if you're looking for food such as pasta, especially aglio olio, I ate it two times last January.",Product Quality
STASH Coffee Co.,5,coffee,I'm glad I had chanced upon this coffee spot when I visited Davao.,Product Quality
Seattle's Best Coffee,1,coffee,You have to queue and wait for about an hour just for a cup of coffee.,Product Quality
Haron's Cafe,5,coffee,You dine while you have nice music playing in the background.,Ambiance and Atmosphere
Coffeecat,5,coffee,With great choices of coffee drinks and food.,Product Quality
Barok Cafe & Resto,5,coffee,the food and drinks are great but expensive.,Product Quality
The Coffee Bar at GMall of Davao,2,coffee,so i ate my pasta and just reveled at the comfortable vibe of the coffee shop whilst glancing at my korean tele novela.,Product Quality
Fika Cafe - Lapu-Lapu,5,coffee,"Perfect place to study, do some work.",Facilities and Amenities
Coffee Project Mintal,2,coffee,And the waiting of our food took an Hour to be served!,Product Quality
Knto Cinco - Puan Branch,5,coffee,The food is great and service.,Product Quality
Blnko Street Cafe,5,coffee,The food is just as impressive.,Product Quality
olo. Coffee And Concepts,1,coffee,It's my first time encountering a coffee shop with this kind of attitude toward customers.,Customer Service
Coffee By The Way,1,coffee,The staff doesn't know their menu as well which is pretty disappointing.,Customer Service
We Got Cha! - Mintal,3,coffee,"The food are good but the place is not sanitary enough to dine in and its so dusty, when we arrived tables aren't cleaned so take out nlng.",Product Quality
Space-Arabica,5,coffee,Strong international ambiance  smiling_face_with_heart-eyes,Ambiance and Atmosphere
Solace - Coffee Club,4,coffee,"Tried their cookies, coffee, and bestseller — dragonfruit yakult.",Product Quality
Starbucks - Matina IT Park,4,coffee,A good place to chill and relax and have a cup of cappuccino.. My only concerned is they don't have a WiFi connection for their customers.. Hope they will give a free WiFi connection...,Facilities and Amenities
Coffeecat,5,coffee,One of my favorite coffee shops in Davao.,Product Quality
Matcha Ureshi Bar,5,matcha,"I tried their Vanilla Sea Salt Matcha, it tastes umami, and I get a hint of nuttiness.",Product Quality
Kafih - Davao,5,coffee,There's also free wifi!,Facilities and Amenities
The Crazy Bite Co. Sky Cafe,5,coffee,Food are delicious.,Product Quality
HWYL COMMUNITY CAFÉ,5,coffee,"Checked out this place a few weeks ago, it had a nice vibe, and I ordered one of their soft drinks, so I went back recently and ate probably the best burger (chicken cane) in the Philippines!",Product Quality
Blugré Coffee,4,coffee,I love their durian coffee.,Product Quality
The Secret Garden Cafe,5,coffee,The only downside is the size of the space since you only have a few inches of path in the middle to pass through once the place gets full.,Facilities and Amenities
Cafe Demitasse,5,coffee,Thanks for superb customer service.,Customer Service
Matcha Bar - Marfori,5,matcha,Matcha is superb,Product Quality
Clutch Cafe,5,coffee,"must tryyy  smiling_face_with_hearts  smiling_face_with_hearts  anyways, lami bbq flavor sailang fries!!",Product Quality
The Limestone Brew,5,coffee,Coffee was great and food was good.,Product Quality
Daleachious Cafe - Ecoland Branch,5,coffee,"It can be hard to find places that serve good quality food at a reasonable price here in the Philippines, especially in cities but every once in a while you stumble across a hidden gem like Daleachious!",Product Quality
Cafe Demitasse,4,coffee,The fianceé and I ordered their Irish Cream Latte and Iced Macchiato which were both divine.,Product Quality
Karlo's Gourmet & Coffee,5,coffee,Smiling staff was a real pleasure.,Customer Service
Barok Cafe & Resto,3,coffee,mid food then for some stupid reason the receipt was written manually lol like hello what's the point of your cashier if you don't use it ALSO BREAKFAST BREAKFAST no more streams bffr fix your restaurant,Product Quality
Annipie,5,coffee,The Americano (hot) coffee and cinnimon roll a great paring.,Product Quality
Solace - Coffee Club,3,coffee,Had high expectations on the drinks because of how much I saw this place being promoted by everyone but expectations stayed as expectations  pensive_face  Drinks weren't up to my taste (tried my friend's order too).,Product Quality
Hygge Coffee,4,coffee,Although the wifi is only 4 hours but it's fine.,Store Operations and Accessibility
Lara Mia Café & Bistro,4,coffee,"Nice place under the trees in their garden, good people and accommodating and of course who can resist their good food!",Customer Service
MYLK Cafe,5,matcha,The drinks are so good and you can tell they're made with quality ingredients.,Product Quality
The Crazy Bite Co. Sky Cafe,5,coffee,"The atmosphere was wonderful, the food was delicious, and the service was impeccable.",Ambiance and Atmosphere
Fourth Street Cafe,5,coffee,"Great coffee go there  grinning_face_with_smiling_eyes , it will be a joy being there …",Product Quality
Coffee For Peace at One Oasis,5,coffee,The ambiance is very good for people who wants peace of mind.,Ambiance and Atmosphere
Bandejas Cafe & Diner,4,coffee,I have to be honest though ….. coffee was bland.,Product Quality
Gulf Coast Coffee and Co.,5,coffee,affordable and the coffee looks good,Price and Value
Green Coffee - Marfori,1,coffee,Worst coffee shop and way too expensive.,Price and Value
Annipie @ The Farm,5,coffee,Nice ambiance the crews are very attentive,Ambiance and Atmosphere
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,"Good food, cozy place.",Product Quality
Daleachious Cafe - Lanang Branch,5,matcha,ALL GOODS AND AESTHETIC VIBES,Ambiance and Atmosphere
Matcha Bar - Marfori,5,matcha,Friendly owner,Customer Service
olo. Coffee And Concepts,3,coffee,"Visited yesterday 2/9/26 tear-off_calendar  Ordered an iced Spanish Latte, coffee was good hot_beverage  Service was quick, since there were only a few people star-struck  Best time to visit: 11AM-1PM (not too hot out) Price Range: ₱120-₱239 The ambiance had a lot of potential, but it was honestly ruined by one barista repeatedly stepping outside the bar to gossip with her 2 friends (seated beside me), which got a bit noisy.",Product Quality
Door 3 Cafe,5,coffee,Food tasted good with affordable price range.,Product Quality
Space-Arabica,4,coffee,"This place is open 24 hours, which is awesome.",Store Operations and Accessibility
Green Coffee - Marfori,5,coffee,The meeting and study place of medical students,Facilities and Amenities
Cafe Julieta,4,coffee,"Updated: 20190512 Excellent food choices, cozy ambience, and friendly servers.",Product Quality
Matcha Bar - Marfori,5,matcha,Staff is accomodating and drinks are good,Product Quality
Seattle's Best Coffee,1,coffee,for just three drinks and they were mid.,Product Quality
Coffeecat,5,coffee,Amazing service and even better food!,Product Quality
Matcha Bar - Marfori,5,matcha,Well made drinks and pastries.,Product Quality
Vanitea Cafe,5,coffee,The place is nice and the staff is friendly.,Customer Service
Cafe Demitasse,4,coffee,They serve good food and amount of food.,Product Quality
Habitat Coffee - Tionko Branch,5,coffee,Good for studying and writing but there is no wifi.,Facilities and Amenities
Habitat Coffee - Tulip Branch,5,coffee,I go for their Tocino rice meal or their Roast Pork with grilled veggies and always paired with their Spanish Latte.,Product Quality
Purge Coffee Roaster,5,coffee,It's a good working space.,Facilities and Amenities
Matcha Bar - Marfori,5,matcha,"Honestly, one of the best matcha we've ever had.",Product Quality
Daleachious Cafe - Buhangin Branch,3,coffee,"A highly functional workspace with plenty of outlets and comfortable seating, though the noise level and average coffee hold it back from perfection.If you are looking for a place to park your laptop, hit the textbooks, or crush a remote workday, this coffee shop hits the mark on logistics.",Product Quality
"The Coffee Bar, Gaisano Mall of Toril",5,coffee,Good service and excellent food,Product Quality
olo. Coffee And Concepts,5,coffee,"Drinks are okay, but honestly nothing to write home about.",Product Quality
STASH Coffee Co.,5,coffee,the food is so good.,Product Quality
Green Coffee - Marfori,4,coffee,Awesome place for study ...very peace,Facilities and Amenities
WORK CO COWORKING MATINA BRANCH,4,coffee,Goods Kai naii duol.. their staff krezel is ok too  beaming_face_with_smiling_eyes .. wish they were open 24/7.. hehehe..,Store Operations and Accessibility
Café de Vivré,5,coffee,"If you want to try specialty coffee, they have a good selection.",Product Quality
The Forum Cafe,4,coffee,"Not too crowded as well, their earl grey tea was a new taste of drink for me but it was nice.",Product Quality
Coffee Project Mintal,4,coffee,"Pretty nice spot for coffee and pastries, and other drinks and food.",Product Quality
HWYL COMMUNITY CAFÉ,5,coffee,"With good food, service, and ambiance.",Product Quality
ROOFTOP Café Bar,5,coffee,Best place if you're looking for specialty coffee.,Product Quality
Cafe Tadeo,5,coffee,"Their coffee is delicious, not too sweet and very cheap.",Price and Value
The Crazy Bite Co. Sky Cafe,5,coffee,"The staff was genuinely friendly and helpful, and the service was flawless.",Customer Service
Pursuit of Coffee (POC),4,coffee,Service: 4.6/5 Baristas are very accomodating and easy to talk to.,Customer Service
Starbucks - SM City Davao,5,coffee,"I typically prefer smaller independent coffee shops, but being at the mall this was our destination.",Product Quality
Annipie,5,coffee,The food is delicious and affordable.,Price and Value
KISOM Atelier,5,matcha,"As a not-so-much-matcha-fan, super sarap.",Product Quality
Dear Joe Frontera,4,coffee,Enjoyed spending some quiet time here both alone and with company.,Ambiance and Atmosphere
Fourth Street Cafe,4,coffee,"If you're looking for a quiet spot to enjoy a meticulously prepared coffee and a satisfying pastry in a beautifully designed space, Fourth Street Cafe is the place to be.",Ambiance and Atmosphere
WORK CO COWORKING MATINA BRANCH,5,coffee,place is cozy and cold internet is good and fast silent many clients good place to study parking area (first come first serve) until 8 am closing hours (meaning you can stay the whole night) nce nce may fridge pa sila if you want to buy softdrinks may cup noodles din sila for sale you can buy outside and bring them inside free coffee pakabusog ka free water good cr may common area with people or solo pod (alone) iz goooodddd,Facilities and Amenities
Palps Cafe,5,coffee,hot_beverage  red_heart  My favorite drinks are the Pistachio Latte and Blue Matcha Strawberry—both are absolutely delicious.,Product Quality
BRGR Alley Café,4,coffee,"Good food, good friends!",Product Quality
Coffeepaste Davao,5,coffee,"Pretty good food, relatively affordable (fast food is cheaper), but the quality of the food, the atmosphere, and the service is a lot better.",Price and Value
Daleachious Cafe - Buhangin Branch,1,coffee,Slow internet connection,Facilities and Amenities
Green Coffee - Diversion,2,coffee,Not a good place to get Just regular coffee,Product Quality
Bandejas Cafe & Diner,2,coffee,"Maybe for next time, ask if the customer prefers it sent out one at a time or all together… coz it's sad to eat your food first then your family just watching you lol",Product Quality
Cafe Demitasse,5,coffee,Good coffee and fantastic cakes!,Product Quality
8me sweet cakes and coffe shop,5,coffee,Food is great.,Product Quality
Coffee at Yellow Hauz,4,coffee,I find the noise from staff chatter and equipment to be distracting though or if cafe is filled with people (place could use some improvements on acoustics or higher ceilings for noise control).,Customer Service
The Bloom Coffee & Start-Up Space,1,coffee,The staff weren't even apologetic.,Customer Service
Yukiss Cafe and KTV,2,coffee,The female staff rolled her eyes on us when we followed our orders up!,Customer Service
Café de Vivré,5,coffee,Drinks were well prepared and worth the price.,Product Quality
Blugré Coffee,2,coffee,"Still on the menu are the old faves — Chicken Enchilada and White Choco Torte….This used to be ""the coffee hang out"" during its glory days…But as so many new coffee shops sprouted through the years, issues with poor air conditioning, slow internet connection, and the second floor always unavailable loudly spells TERRIBLE service.",Product Quality
Habitat Coffee - Tionko Branch,5,coffee,Staff were so calm and collective.,Customer Service
Annipie Airport View,3,coffee,"The place is quite ok, food is not bad.",Product Quality
Coffeecat,4,coffee,Coffee taste good and cream brulee just suits their coffee,Product Quality
Humble Table,5,coffee,The price: Standard Price.,Price and Value
Starbucks,4,coffee,"The place is clean though, and staff are friendly.",Customer Service
The Coffee Bar at GMall of Davao,3,coffee,Keep improving your service and coffees.,Customer Service
Haron's Cafe,5,coffee,"They have a variety choices of Halal food and beverages and serve lots of options of cakes, coffee, milk tea, pasta, breakfast meals, even Pinoy dishes and kakanin.",Product Quality
Starbucks - Abreeza Mall,5,coffee,The food is good and the coffee is great.,Product Quality
Cafe Demitasse,3,coffee,"Food is fine, ambiance is okay, price point is high considering the taste and the serving size.",Product Quality
Inherent Coffee,5,coffee,"Food  check_mark_button  check_mark_button  check_mark_button  check_mark_button  check_mark_button  Service  check_mark_button  check_mark_button  check_mark_button  check_mark_button  check_mark_button  Atmosphere  check_mark_button  check_mark_button  check_mark_button  check_mark_button  check_mark_button  Overall: 5 stars The food is worth it, it's worth the drive from downtown.",Ambiance and Atmosphere
KISOM Atelier,3,matcha,I've had better matcha at the same price point or lower.,Price and Value
Starbucks - SM City Davao,2,coffee,This place seems to be always crowded and untidy.,Ambiance and Atmosphere
Kafih - Davao,5,coffee,Their Spanish latte is my personal fave.,Product Quality
Good One Cafe and Yogurt,3,coffee,Parking can be difficult.,Store Operations and Accessibility
Vanitea Cafe,5,coffee,The internet connection is unlimited and really fast.,Facilities and Amenities
Kopi lah Roti,3,coffee,This has been our go to place for coffee meeting.,Product Quality
Hygge Coffee,2,coffee,"I stopped going because, for me, it is not a good value for your wallet.",Price and Value
Café Prelaya by The Joaquins’ Cheesecakes,5,coffee,The ambiance is nice even though you're in the middle of the city.,Ambiance and Atmosphere
WORK CO COWORKING MATINA BRANCH,5,coffee,I was freezing at other study hubs and had to leave ASAP.,Facilities and Amenities
Green Coffee - Marfori,5,coffee,Nice selection of drinks and cakes to die for.,Product Quality
"PICKUP COFFEE - Plaza de Bole, Torres St.",5,coffee,"If you go there yourself, keep in mind it's right by the road and only have outside chairs, so it can get super hot if you stay there.",Facilities and Amenities
Hortus Davao (Matcha & Coffee),5,matcha,The coffee is good  hundred_points  the ambiance is instagramable  camera_with_flash,Product Quality
Barok Cafe and Resto,2,coffee,The main complaints were delayed service and unprofessional staff.,Customer Service
The Secret Garden Cafe,5,coffee,"Also, there's no parking space outside so you might walk a little and burn some calories first.",Store Operations and Accessibility
Vanitea Cafe,4,coffee,"I still get it if other customers are noisy, but I hope the staff is not as noisy.",Ambiance and Atmosphere
Starbucks,5,coffee,Its Cool to Stay and eat to this place cuz they have free wifi.,Facilities and Amenities
Binnamon Cafe,5,matcha,Best matcha in town  hundred_points  Love their wings and pastries as well!,Product Quality
Starbucks - Matina IT Park,4,coffee,Reasonable Price...,Price and Value
BRGR Alley Café,5,coffee,"The place was awesome, the staff were welcoming and the food was great  hand_with_index_finger_and_thumb_crossed",Customer Service
PICKUP COFFEE - Oroderm City,5,coffee,Very nice place and all the staff are kind  smiling_face,Customer Service
Blugré Coffee,4,coffee,Just dropping by at Blugre Coffee inside MTS and the place instantly gave that cozy and relaxing vibe perfect for slowing down for a while.,Product Quality
olo. Coffee And Concepts,3,coffee,The service is friendly and fast in my experience.,Customer Service
Green Coffee - Obrero,3,matcha,The barista is friendly and approachable.,Customer Service
Starbucks - Abreeza Mall,1,coffee,I had to buy throw it and buy another coffee.,Product Quality
Apo Cafe,5,coffee,"Upon entering, you are greeted by the staff at the counter.",Customer Service
IDK cafe PH,5,coffee,Eight Coffee delightful.,Product Quality
"Miss Bridgette,",5,matcha,"The food was great though I only ordered coffee, lemon cake and …",Product Quality
Coffeecat,5,coffee,A place for you to relax and enjoy a good coffee.,Product Quality
olo. Coffee And Concepts,4,coffee,It didn't feel friendly at all.,Customer Service
The Matcha Tokyo - Azuela High Street,4,matcha,"Their cheesecake was soft and creamy, with just the right balance of matcha flavor.",Product Quality
Lara Mia Café & Bistro,5,coffee,"Serving size can feed 1-2 people, their gelato flavors are very interesting, food is served in a timely manner, has reasonable prices, and the staff is also attentive.",Product Quality
Dakong Balay,5,coffee,"Good food, nice ambiance, instagrammable ang place and nice and comfort room.",Ambiance and Atmosphere
Café Prelaya by The Joaquins’ Cheesecakes,4,coffee,"During our visit, it drizzled and the staff were quick to assist us in transferring inside and helped us carry our things",Customer Service
Black Scoop Cafe Matina,5,coffee,"They also have a best choice of music, but Catherine, yours are amazing!",Ambiance and Atmosphere
Kafih - Davao,5,coffee,"We ordered gyudon, bibimbap, sour cream fries, caramel latte, and strawberry milkshakes.",Product Quality
Green Coffee - Diversion,2,coffee,Interactions with other staff haven't been much better.,Customer Service
Whisk Davao Matcha,5,matcha,Great service and great people,Customer Service
Paramount Coffee Crocodile Park Davao,5,coffee,Ambiance is so nice and relaxing.,Ambiance and Atmosphere
Barok Cafe and Resto,3,coffee,A little pricy.,Price and Value
ems Cafe and Resto,3,coffee,"So far, this is the worst service experience I've had with them, which is quite disappointing considering how much I like their food.""",Customer Service
sips sala,5,matcha,Super cozy and intimate spot w yum and authentic tlga na matcha,Product Quality
Pedal Cafe Davao,5,coffee,"The enchanting aroma of freshly brewed coffee, combined with the cozy and minimalist ambiance, instantly transported me to a tranquil corner of another country.",Ambiance and Atmosphere
The Matcha Tokyo - SM Davao,5,matcha,Another matcha place in Davao.,Product Quality
Café Joa,1,coffee,"You can really tell that the matcha they're using is commercialized, not the good quality kind.",Product Quality
Glasshouse Coffee,4,coffee,ang mahal lang talaga ng drinks & they're not really that mindblowing.,Price and Value
The Coffee Bar at GMall of Davao,5,coffee,Good ambiance and very nice place to study!,Facilities and Amenities
The Coffee Bar at GMall of Davao,5,coffee,"Service is friendly, but it can get a bit slow during busy hours.",Store Operations and Accessibility
Fourth Street Cafe,4,coffee,The place is very chill — for a date or solo unwind.,Ambiance and Atmosphere
Starbucks - GMall of Davao,5,coffee,Thanks Starbucks for having an amazing staff's.,Customer Service
Coffee By The Way,3,coffee,"The restaurant's location is ideal for those in the south, offering a pleasant ambiance and scenic views that transport diners out of the city atmosphere.",Store Operations and Accessibility
Starbucks,5,coffee,"Wifi not that fast anymore, maybe congested.",Facilities and Amenities
Good One Cafe and Yogurt,4,coffee,Might come back to try their matcha drink but not their yogurt.,Product Quality
Purge Coffee Roaster,4,coffee,I drank their Black River iced coffee and it was absolutely delicious.,Product Quality
olo. Coffee And Concepts,5,coffee,"From the moment you step in, everything just feels right—the calm atmosphere, the clean and thoughtfully designed space, and that comforting café energy that makes you want to slow down and stay a little longer.",Facilities and Amenities
Starbucks,5,coffee,Chill and fast service,Ambiance and Atmosphere
Purge Coffee Roaster,5,coffee,Good coffee from the master,Product Quality
Dakong Balay,5,coffee,smiling_face_with_open_hands  They have a sumptuous food  face_savoring_food and better service.,Product Quality
The Coffee Spot & Lounge,3,coffee,Food is really Good 10\10 but the staff looks like they are having holly week.,Customer Service
Kapeweñoz Dacudao,5,coffee,One of the underrated Go-to coffee shop in Davao City.,Product Quality
Whisk Davao Matcha,5,matcha,Whisk Davao Matcha is more than just a café—it's an experience.,Product Quality
TALA Cafe,5,coffee,"They're open Tuesday–Sunday, 11AM–9PM.",Store Operations and Accessibility
IDK cafe PH,5,coffee,This hidden gem is just a few blocks away from our house and has been our go-to coffee spot ever since we discovered it.,Product Quality
Sipscape Cafe,5,coffee,"The vibes are on point, plus free WiFi pajud, so you can slay while sippin your favv kape.",Facilities and Amenities
Black Scoop Cafe Matina,3,coffee,Their staff are not really accommodating and the place is indeed crowded with rowdy youngsters.,Customer Service
Solace - Coffee Club,5,coffee,"The coffee was fresh and tasted great, and the staff were friendly and welcoming.",Customer Service
Kapeweñoz Dacudao,5,coffee,The best coffee In Davao,Product Quality
Daleachious Cafe - Ecoland Branch,5,coffee,"love the place, ambiance and the service.",Ambiance and Atmosphere
Espresso Lab Cafe Davao,5,coffee,hundred_points  the staff?,Customer Service
The Crazy Bite Co. Sky Cafe,5,coffee,They are open 24/7.,Store Operations and Accessibility
REVEL by Confex,5,coffee,I love how if you sit at the tables near the windows you get ample amount of sunlight and i don't know why but it pairs so well with drinking coffee.For its price point it's honestly so affordable and worth it.,Price and Value
Auto Brew Carwash + Café,5,coffee,A Carwash/Cafe Resto in Toril The Space are huge making it much more comfortable and cozy the indoor/open space setup are quite good it's perfect for chill while you wait for your vehicle to be cleaned.,Facilities and Amenities
Repeat Coffee,5,coffee,The best coffee,Product Quality
The Crazy Bite Co. Sky Cafe,2,coffee,"Staff is very attentive but 500 pesos for 1 basic burger, fries, and 3 wings is wild in thee Philippines.",Customer Service
Starbucks Damosa IT Park Drive-Thru,4,coffee,Staff are accommodating.,Customer Service
Fourth Street Cafe,5,coffee,Student friendly Menu and a silent Ambiance...,Customer Service
The Bloom Coffee & Start-Up Space,3,coffee,But there's no long wait for food.,Product Quality
The Crazy Bite Co. Sky Cafe,4,coffee,Parking is a bit of a hassle when it is working hours.,Store Operations and Accessibility
Cafe Julieta,5,coffee,Good food.,Product Quality
Fromari,4,coffee,I went down to grab some affordable and tasty drinks.,Product Quality
Cafe Basilico,3,coffee,"THE VENUE AND SERVICE WAS GOOD, BUT PLEASE, JUST PLEASE DON'T SERVE THE STEAK FREAKIN COLD!",Customer Service
Starbucks - SM City Davao,5,coffee,Wifi is reliable if you need to go online.,Facilities and Amenities
JAS Caffeinated,5,coffee,Good food at reasonable price!,Product Quality
Starbucks,5,coffee,They are open daily from 7am-1am and until 2am on Fridays and Saturdays.,Store Operations and Accessibility
The Matcha Tokyo - Azuela High Street,4,matcha,The place is so nice and aesthetic but leaning to pricier side.,Ambiance and Atmosphere
Humble Table,5,coffee,the food is good and i loved the drinks i've tried here.,Product Quality
Thirty Third Café,5,coffee,"I also liked the matcha, the place is cute, clean and the staff are friendly.",Product Quality
JAS Caffeinated,4,coffee,"coffee was okay, atmosphere and service is nice.",Customer Service
Daleachious Cafe - Ecoland Branch,5,coffee,":) The cafe's ambiance is very cozy and light, perfect for catching up with friends.",Ambiance and Atmosphere
Kapenato,5,coffee,Very kind staff.,Customer Service
Mine Cafe - Tibungco,5,coffee,The prices are good and the quality for the price is great.,Price and Value
HYGGE COFFEE 2,5,coffee,Thank you for the good service.,Customer Service
Kiks Davao,5,coffee,love the coffee!,Product Quality
Café de Vivré,5,coffee,Staff are really kind and attentive Cafe is small but the place was not crowded when I visited.,Ambiance and Atmosphere
Space-Arabica,3,coffee,Staff weren't courteous as well.,Customer Service
BRGR Alley Café,5,coffee,The staffs were very accommodating.,Customer Service
"10,000 Reasons Cafe",5,coffee,"The staff is friendly, the facilities are spotless, and the internet is reliable.",Facilities and Amenities
Starbucks - SM City Davao,4,coffee,The space is quite big and the service is great!,Facilities and Amenities
Daleachious Cafe - Ecoland Branch,5,coffee,And their croissant and spanish latte.,Product Quality
Starbucks - Matina IT Park,4,coffee,Great ambiance.,Ambiance and Atmosphere
Pursuit of Coffee (POC),5,coffee,Plus points on the nice sturdy takeout cups that other coffee shops should follow suit.,Product Quality
The Yolk Society,5,coffee,"Their place, food, and drinks are so good!",Product Quality
Starbucks,4,coffee,The baristas are friendly.,Customer Service
Evermore Cafe Davao,5,coffee,Super premium ang drinks and food and ma justify jd ang price!,Product Quality
Starbucks - GMall of Davao,5,coffee,The baristas here are very friendly and their serving time is very fast.,Customer Service
Hikaru de Cielo Cafe,3,coffee,"Very nice decoration, very attentive Staff, Aircon is not too cold.",Facilities and Amenities
Glasshouse Coffee,4,coffee,"Really good ambience, lacks free wifi and space.",Facilities and Amenities
Café de Vivré,4,coffee,It is a peaceful pocket inside the mall for a cup of coffee.,Product Quality
The Crazy Bite Co. Sky Cafe,3,coffee,I waited for an hour for the food to be served.,Product Quality
Dakong Balay,4,coffee,Ample parking space and the location is along the main road.,Facilities and Amenities
Dunkin' - Bago Aplaya,4,coffee,The place is quiet and less people especially late hours.,Ambiance and Atmosphere
Coffeecat,5,coffee,A very clean usually quiet coffee shop with good drinks and good food.,Ambiance and Atmosphere
Kopi lah Roti,5,coffee,Comfort food,Product Quality
Wood and Coffee Davao,4,coffee,So friendly and was able to explain every inquiries I have.,Customer Service
Brew and Cinnamon Cafe,5,coffee,A professional chef prepares the food.,Product Quality
Coffee at Yellow Hauz,4,coffee,Very comfortable place to hang out or work in.,Facilities and Amenities
MANU Coffee,5,coffee,Liked the ambiance and so cozy vibrant atmosphere when it comes to coffee their best seller on classic menu is: orange americano and spanish latte.,Product Quality
Matcha Bar - Marfori,5,matcha,Matcha Bar is one of those rare spots that feels like a quiet reset.,Ambiance and Atmosphere
Cafe Gervacios - Pastry and Coffee in Davao City,4,coffee,Na basta lami gyud!!,Product Quality
A Little Lately,5,coffee,Open the door and go up the stairs.,Store Operations and Accessibility
BRGR Alley Café,4,coffee,Fast service.,Customer Service
Kafih - Davao,5,coffee,"It's the perfect place to unwind or get some work done, with soft background music adding to the ambiance.",Ambiance and Atmosphere
KOFI GRAM-BAJADA,5,coffee,"The quality of their food and drinks is speechless, plus the cleanliness and the vibe of this cafe is so good.",Product Quality
Palps Cafe,5,coffee,A quaint and quality coffee nook.,Product Quality
Coffee For Peace at One Oasis,1,coffee,Staff said a week ago.,Customer Service
Mine Cafe - Tibungco,5,coffee,Food is delicious!,Product Quality
Bean Xpress Matina Branch,5,coffee,Very affordable coffee and coffee is good for its price!,Product Quality
Cafe Demitasse,5,coffee,Delicious food and superb service.,Customer Service
Lara Mia Café & Bistro,4,coffee,"Food is ok, they already have ice cream and coffee.. nice place",Product Quality
Lara Mia Café & Bistro,4,coffee,Their food is so good!,Product Quality
Black Scoop Cafe Matina,5,coffee,Good ambiance and friendly staff.,Ambiance and Atmosphere
Coffeefolks Cafe,5,coffee,The barista *also the owner* is very passionate with the coffee he crafts.,Product Quality
The Bloom Coffee & Start-Up Space,5,coffee,"It gets a lot of human traffic - people studying, meetings, etc.",Store Operations and Accessibility
JH Garden Cafe and Restaurant Matina,5,coffee,Food 5 / Service.,Customer Service
Starbucks - SM City Davao,3,coffee,Unreasonably expensive,Price and Value
Starbucks,3,coffee,Coffee is good as always.,Product Quality
Green Coffee - Diversion,4,coffee,"coffee was really good and ambience was great, but theres no actual food at all, its all coffee n desserts which is ok. it just seemed like a nice place to eat initially",Product Quality
The Coffee Bar at GMall of Davao,5,coffee,Thank you so much for the yummy foods and refreshing drinks.,Product Quality
Space-Arabica,5,coffee,"Although the Wi-Fi didn't work well when we were there, it's still okay because the signal in the area is good.",Facilities and Amenities
Hid'n Coffee,5,coffee,Amazing food matched with great coffee and very hospitable service.,Product Quality
Fika Cafe - Lapu-Lapu,2,coffee," star  1 star for service — not because the staff weren't attentive or helpful, but because of the poor basic service.",Customer Service
Kafih - Davao,5,coffee,"Good ambience, healthy food and clean surroundings accommodating staff.",Product Quality
WKND 1970,5,coffee,Probably one of my best recom coffee place to go to in Davao City.,Product Quality
Coffee By The Way,1,coffee,"If there's a sugar shortage in Negros, it's because they have it all in their coffee.",Product Quality
Beholden Coffee Experience - CM Recto,5,coffee,The Beholden Coffee Experience met my expectations when it came things I would like to experience!,Product Quality
Black Scoop Cafe Matina,4,coffee,"If you have a hard time choosing with all the drink choices, you can ask the staff for their recommendations or best sellers.",Customer Service
Whisk It Good Matcha,5,matcha,Delicious food; accommodating staffs; and the ambiance is homey.,Customer Service
"The Coffee Bar, Gaisano Mall of Toril",1,coffee,Queued for 45 mins at the cashier and there was only one customer before me plus more than 30 mins before my coffee was served.,Customer Service
Evermore Cafe Davao,3,coffee,It's a hassle every time you call the staff.,Customer Service
Krispy Kreme Doughnuts® - SM Lanang,4,coffee,coffee + doughnuts= krispy creme,Product Quality
Matcha Bar - Marfori,5,matcha,The staff are also very kind and accomodating.,Customer Service
The Crazy Bite Co. Sky Cafe,5,coffee,"The food was good and we enjoyed it, the staff were nice and bubbly.",Product Quality
Coffee Project Mintal,5,coffee,"Great American coffee, food was fantastic",Product Quality
