place_name,shop_type,clean_review
Wood and Coffee Davao,coffee,"My friends and I had our Christmas Party here and we had the best time!  Christmas_tree  red_heart  The overall vibe of the place really matched the Christmas spirit we wanted plus their coffee is really goOooOod  loudly_crying_face  I had, of course, my staple Spanish Latté (along with a slice of Matilda cake which for me is a little dry, but okay nonetheless) and my friends ordered a Mocha Latté and a Revel Bar. I highly recommend to visit here and have your simple secret santa with friends if you like the cozy and chill vibe  sparkles "
The Coffee Bar at GMall of Davao,coffee,"the ambience was cozy and clean, prices were fair, and the quality was consistent."
Barok Cafe and Resto,coffee,"Food was mediocre. Pizza was even not cooked properly. There's also the staff na very unwelcoming (except yung isang kuya na very friendly), the cashier was even paying more attention sa cellphone nya than assisting and getting our orders. Nakakaabala ata kami sa pagsosocmed nya downcast_face_with_sweat  And for the price range, self service??? Like huh ano yun. May pa vip lounge smth pa tas self service pala lol. Not rlly recommended. Will definitely tell people abt this horrible experience."
Bandejas Cafe & Diner,coffee,"Amazing and neat services from the workers while also providing great food variety that can satisfy many people that like treats, great and calm atmospere, 100% recommended for chika"
"Miss Bridgette,",matcha,"A very nice place! Good food, good ambience, good service  thumbs_up . I definitely recommend this. They also have charging ports available and a wifi. There are different corners you can choose such as by the window where it's bright and sunny ( you …"
olo. Coffee And Concepts,coffee,"The place was cool and nice with the chairs and tables perfectly placed inside and outside the shop. It was really the experience of sitting under the big mango tree that amused me because we rarely have coffee shops in the city that prioritized the comfort of customers over aesthetics, but this one did both. A really good place to catch-up and drink good coffee with friends. The baristas were very accommodating and the price of the drinks were student friendly. I highly recommend this place for coffee drinkers and nature lovers."
Onse Kopi,matcha,"This is Onse Kopi shop, one of the underrated coffee shops in davao where you can find the best coffee in town.... They are using Arabica Brazil Coffee Bean, I must say na lasang lasa mo talaga yung kape dito... Also, they are using rice straws.. Located near BC Chicken House, where you can taste The Best Authentic Chicken Inasal."
Annipie Roxas,coffee,"Love the interior and ambiance. Perfect for small group meeting (and date-date). Friendly and smiling din ng crews nila  smiling_face_with_smiling_eyes  Well, they are very known with their cinnamon and cakes.. But I also love their Nachosss!!!  red_heart "
Matcha Ureshi Bar,matcha,I had their Banana Pudding Matcha.
The Matcha Tokyo - SM Davao,matcha,Highly recommended Will buy again
The Secret Garden Cafe,coffee,"Delicious food, friendly staff, nice ambiance"
sips sala,matcha,SO HAPPY I CAME HERE!!! My new go to matcha hihi. Super love the people din serving us and the place was so chill and intimate parang secret spot lng for u and ur kasama
Koffiepauze,matcha,Cozy place
Green Coffee - Diversion,coffee,Been there for a business transaction. The place has a good ambiance.
KISOM Atelier,matcha,I live the matcha volume II
Whisk Davao Matcha,matcha,New Fav!!! I really really love the Iced Salted Caramel Match (Asin Tibuok). Russel and Sam are so hospitable. Very accommodating. Will surely go back.  green_heart  green_heart  green_heart  …
The Matcha Tokyo - SM Davao,matcha,Love the drinks!
Whisk Davao Matcha,matcha,"I dropped by this matcha spot after class after seeing it on TikTok, and I'm so glad I did. The space is cozy with limited seating, but the Japanese-inspired interior gives it a really authentic and calming vibe. …"
Matcha Ureshi Bar,matcha,"Oat matcha latte vol. 2 is sooo good! Grabe ka cozyy ang vibe dri, go visit them!"
Out of Boredom,matcha,"I finally got to visit Out of Boredom. I tried their Spanish latte and it was good... The espresso was not under or over extracted, just perfect for my taste. I love the interior design as well. The thing is the place is quite small, so it …"
Habitat Coffee - Tionko Branch,coffee,The place is super nice! red_heart  red_heart  red_heart 
Green Coffee - Marfori,coffee,"The place is very cozy and warm, perfect for afternoon and late night talks. The price is very affordable."
Starbucks Damosa IT Park Drive-Thru,coffee,Everything is awesome
Binnamon Cafe,matcha,Spanish and Hojicha  OK_hand_light_skin_tone  OK_hand_light_skin_tone  OK_hand_light_skin_tone  OK_hand_light_skin_tone  OK_hand_light_skin_tone  …
Cafe Tavera,coffee,"Of all the foods we ordered, outstanding ang dragon balls at ang gourmet ice cream nila. Others were so-so. The latte was good too."
KISOM Atelier,matcha,"I visited KISOM Atelier on one of their opening days — and what an experience it was! From the moment you step inside, you're struck by the stunning interior: exquisite décor, stylish furniture, gorgeous crockery, and thoughtful touches everywhere, from the elegant cups and saucers to lush plants and even a super cool faucet in the bathroom. The neutral tones make the whole place feel calm and inviting, and there are books galore to browse. Authentic Japanese crockery lines the shelves, adding to the charm  star-struck  The warm, friendly staff greeted me with a lovely welcome, setting the tone for the rest of my visit. And the best part? The menu! It's packed with delicious drinks — top-quality matcha, smooth coffee, and even hojicha — plus an irresistible selection of cakes and cookies Overall, it's a solid 10/10. Such a groovy spot — I'll definitely be back and I highly recommend you check it out too. You'll probably see me there! I'm in love  smiling_face_with_hearts "
"The Coffee Bar, Gaisano Mall of Toril",coffee,"This is my very first time to rate a resto/cafe and hear me out on this. This cafe has a very rude staff! Not exaggerating pero rude kaayo the way they take orders and even serve orders na padabog, a major disappointment indeed. I'm talking to you ate na naas counter nara bang may galit sa mundo. Moreover, it took so long for them to serve our orders, mind me ha, duha ka coffees lang and around 30 mins na serve. So if you're looking for a good and peaceful coffee break, do not go here!! WOULD NOT RECOMMEND THIS CAFE!"
The Matcha Tokyo - SM Davao,matcha,Perfect experience
The Matcha Tokyo - SM Davao,matcha,Neil is amazing. He provides great service and great matcha
T'Brews Cafe,coffee,place feels nice and cozy. and the lady was very sweet when she accommodated me and my friend
Whisk Davao Matcha,matcha,"i love this place! the place itself if so comfy and big compared to other matcha places na super sikip, the matcha is super good, i ordered their matcha latte and matcha latte gelato something haha. We loved them! Would definitely recommend this to everyone."
Craft Coffee,coffee,"January 31, 2026. Was here last January 17, 2025. The menu was the same as last year but some in the food menu were added and removed. Either way, consistent sila. Deserved to have a break. Last time, I had the ₱95 Doppio which was two shots of strong espresso. I had to walk from here all the way to Bago Oshiro and vice versa to burn my coffee. Ventured to enter at 11pm as said in Facebook post since they are reopening but saw the recent post that they are open by 10am so we got in. Very thankful that the cafe is as good as new but I will say better from before. Felt more homey. Also would like to thank the staff and owner for allowing us to take part in the blessing of the cafe reopening. ₱165 Iced White Mocha and ₱130 Cortado are great. Both did not feel palpitating. Thanks for having this on the house. May come back soon but looking forward to the coffee trainings or cuppings that were offered previous years. Update: The Cortado is 6oz in cup, not 8oz. Correction."
Matcha Bar - Marfori,matcha,The matcha was superb! The ambience of the place is  ON!_arrow  TOP_arrow  …
Café de Vivré,coffee,Went here for coffee crawl. It's not crowded during the time we visited. We ordered meatball marinara pasta and kaya toast. The serving is good enough for 1 person. Service was fast. Long black was clean and smooth (Ethiopia Niguse Gemeda beans). It is a peaceful pocket inside the mall for a cup of coffee. Airconditioning can be improved though. It seems warm because of the downlights. They are also selling coffee beans.
Cafe Basilico,coffee,"The sounds, aromas, and lighting create an otherworldly atmosphere. The artistic dishes are astonishing, and it's not just the interesting ingredients, but also the innovative recipes, the beautiful presentation, and the unprecedented flavors that make it truly special. For anyone seeking a unique culinary experience, ""Basilico"" is the place."
Dunkin' - Bago Aplaya,coffee,"The best and also my favorite branch!  doughnut  heart_with_arrow  They operate 24/7. They also have Drive-Thru and wide parking space. Lastly, they have a wide selection of donuts and drinks. Very budget-friendly. It's a good place to stay and chill any time of the day, especially that it's cold inside. I bet you might want to bring jacket at night. The staffs are nice and they let you enjoy your visit at peace. They're well-trained. The store shares comfort room with Shell and Shell Select customers. It's only a walking distance and located behind Shell Select. It's spacious and kept clean at all times. Great place in times of emergency.  eyes  rolling_on_the_floor_laughing  You can buy food from Shell Select then eat it inside the store premises (syempre noh you have to buy from them as well), and vice versa. Nice diba? Usually late at night, there's a group of motorcycle drivers who like to roar their engine and drive around the premises. It already happened for quite a number of times, so I'm guessing permi gyud na diha. Distorbo ug papansin kaayo. Hay nako. :p Dear mgt, pls hear my plea. Char."
AtCurbside,coffee,I keep ordering their spanish latte. Their coffee has chocolate notes which i looveee. Tried other coffee shops pero lahi ra jud diri
Matcha Bar - Marfori,matcha,Hojicha series TOP NOTCH! Sobrang sarap ng matcha nila that you want to try everything in the menu.
Floury Cafe,matcha,"We visited Floury Café with a friend and ordered one truffle pasta, one Margherita pizza, and juice. The place itself is really nice and has a good ambiance, more ideal for groups since the tables are quite big, not so much for just one or …"
"Miss Bridgette,",matcha,Favorite place
Annipie Roxas,coffee,"Overall, dining here was a great experience! The restaurant's ambience was bright, clean, and welcoming. The employees were friendly. They have a large menu with a good variety of Filipino-friendly choices of appetizers, main courses, desserts, and drinks. We got the spicy binagoongan which was tender, just the right amount of spicy, and overall delicious. The pork tocino was great with the pickled veggies served on the side. The pistachio blondies, chocolate ganache, mango sansrival, and cheesecake were all good too. And all the prices are fair! Sarap talaga kumain dito, plus hindi masakit sa bulsa."
